date;valuation;cashIn;cashOut
2016-12-29;400 000,00;400 000,00;0,00
2016-12-30;400 000,00;0,00;0,00
2016-12-31;400 000,00;0,00;0,00
2017-01-01;400 000,00;0,00;0,00
2017-01-02;400 000,00;0,00;0,00
2017-01-03;400 143,37;0,00;0,00
2017-01-04;400 143,37;0,00;0,00
2017-01-05;400 143,37;0,00;0,00
2017-01-06;400 143,37;0,00;0,00
2017-01-07;400 143,37;0,00;0,00
2017-01-08;400 143,37;0,00;0,00
2017-01-09;400 143,37;0,00;0,00
2017-01-10;400 143,37;0,00;0,00
2017-01-11;400 143,37;0,00;0,00
2017-01-12;400 143,37;0,00;0,00
2017-01-13;400 143,37;0,00;0,00
2017-01-14;400 143,37;0,00;0,00
2017-01-15;400 143,37;0,00;0,00
2017-01-16;400 143,37;0,00;0,00
2017-01-17;400 143,37;0,00;0,00
2017-01-18;400 143,37;0,00;0,00
2017-01-19;400 143,37;0,00;0,00
2017-01-20;400 143,37;0,00;0,00
2017-01-21;400 143,37;0,00;0,00
2017-01-22;400 143,37;0,00;0,00
2017-01-23;400 143,37;0,00;0,00
2017-01-24;400 143,37;0,00;0,00
2017-01-25;400 143,37;0,00;0,00
2017-01-26;400 143,37;0,00;0,00
2017-01-27;400 143,37;0,00;0,00
2017-01-28;400 143,37;0,00;0,00
2017-01-29;400 143,37;0,00;0,00
2017-01-30;400 143,37;0,00;0,00
2017-01-31;399 966,37;0,00;0,00
2017-02-01;400 599,63;0,00;0,00
2017-02-02;401 948,43;0,00;0,00
2017-02-03;400 003,83;0,00;0,00
2017-02-04;395 971,23;0,00;0,00
2017-02-05;395 971,23;0,00;0,00
2017-02-06;395 971,23;0,00;0,00
2017-02-07;392 361,63;0,00;0,00
2017-02-08;395 248,83;0,00;0,00
2017-02-09;397 166,43;0,00;0,00
2017-02-10;394 230,03;0,00;0,00
2017-02-11;393 163,23;0,00;0,00
2017-02-12;393 163,23;0,00;0,00
2017-02-13;393 163,23;0,00;0,00
2017-02-14;388 460,43;0,00;0,00
2017-02-15;386 521,83;0,00;0,00
2017-02-16;380 720,43;0,00;0,00
2017-02-17;382 993,23;0,00;0,00
2017-02-18;385 894,23;0,00;0,00
2017-02-19;385 894,23;0,00;0,00
2017-02-20;385 894,23;0,00;0,00
2017-02-21;388 669,23;0,00;0,00
2017-02-22;387 243,03;0,00;0,00
2017-02-23;384 946,23;0,00;0,00
2017-02-24;384 946,23;0,00;0,00
2017-02-25;384 946,23;0,00;0,00
2017-02-26;384 946,23;0,00;0,00
2017-02-27;384 946,23;0,00;0,00
2017-02-28;387 665,02;0,00;0,00
2017-03-01;387 952,34;0,00;0,00
2017-03-02;390 441,74;0,00;0,00
2017-03-03;390 616,34;0,00;0,00
2017-03-04;393 635,54;0,00;0,00
2017-03-05;393 635,54;0,00;0,00
2017-03-06;393 635,54;0,00;0,00
2017-03-07;390 198,14;0,00;0,00
2017-03-08;389 754,14;0,00;0,00
2017-03-09;389 754,14;0,00;0,00
2017-03-10;393 166,94;0,00;0,00
2017-03-11;395 480,54;0,00;0,00
2017-03-12;395 480,54;0,00;0,00
2017-03-13;395 480,54;0,00;0,00
2017-03-14;394 972,34;0,00;0,00
2017-03-15;393 900,14;0,00;0,00
2017-03-16;394 852,94;0,00;0,00
2017-03-17;389 638,34;0,00;0,00
2017-03-18;387 782,54;0,00;0,00
2017-03-19;387 782,54;0,00;0,00
2017-03-20;387 782,54;0,00;0,00
2017-03-21;383 884,34;0,00;0,00
2017-03-22;383 569,94;0,00;0,00
2017-03-23;385 992,14;0,00;0,00
2017-03-24;385 312,94;0,00;0,00
2017-03-25;384 724,34;0,00;0,00
2017-03-26;384 724,34;0,00;0,00
2017-03-27;384 724,34;0,00;0,00
2017-03-28;382 315,94;0,00;0,00
2017-03-29;381 794,54;0,00;0,00
2017-03-30;382 320,74;0,00;0,00
2017-03-31;378 266,54;0,00;0,00
2017-04-01;375 762,74;0,00;0,00
2017-04-02;375 762,74;0,00;0,00
2017-04-03;375 910,56;0,00;0,00
2017-04-04;376 984,56;0,00;0,00
2017-04-05;379 478,76;0,00;0,00
2017-04-06;375 510,96;0,00;0,00
2017-04-07;378 768,36;0,00;0,00
2017-04-08;381 667,56;0,00;0,00
2017-04-09;381 667,56;0,00;0,00
2017-04-10;381 667,56;0,00;0,00
2017-04-11;384 484,56;0,00;0,00
2017-04-12;381 878,16;0,00;0,00
2017-04-13;380 680,56;0,00;0,00
